ID,Likability,Text,Face
0,1,"《「終わったか？」》,《「なら俺は失礼するよ」》,《「悪いね……」》","1,1,4"
1,1,"《「これが商売でなければ」》,《「君と口なんて利きたくもない」》,《「早く行ってくれ……」》","1,3,4"
2,1,"《「悪い……そろそろ時間なんだ」》,《「うぅ……そう睨まないでくれ……」》,《「君は自分が思っている以上に恐ろしいんだよ……」》","1,6,4"
3,1,"《黙って彼は席を立った。》,《目を合わせることなく、背を向けて去っていった。》","1,1"
4,"2,3","《「もう十分か？」》,《「それじゃあ頑張ってくれ」》,《「俺の分までな……」》","1,2,1"
5,"2,3","《「残念ながら時間のようだ」》,《「俺自身には価値がなくても」》,《「俺の持ち物には価値があるだろうからな……」》","1,4,2"
6,"2,3","《「そう焦る必要はない」》,《「急がば回れ、果報は寝て待て」》,《「急いては事を仕損じる、どこかの国の教訓だよ」》","2,1,2"
7,"2,3","《「『武器や防具は装備しないと意味がない』」》,《「訓練兵の時に嫌というほど聞かされた言葉だ」》,《「当たり前のことだが、どれほど優れたモノでも」》,《「持っているだけじゃ意味がないことが大半だ」》,《「まずは使ってみる、試してみる」》,《「思いがけない形でそれは役立つだろうよ」》","1,2,2,2,1,5"
8,"2,3","《「俺は、まだ戦えるんだろうか」》,《「もう何年も剣を握っていない」》,《「そもそも何かに立ち向かう勇気すらない」》,《「はは、無理に決まってるよな」》","1,2,4,2"
9,"2,3","《「さて、そろそろ俺は行くよ」》,《「この取引が、少しは君の役に立てば」》,《「俺はもうそれで十分さ」》","1,2,2"
10,4,"《「悔しいが、そろそろ時間だ」》,《「また会おう、親友」》,《「その旅路に幸があることを祈ってるよ」》","4,2,5"
11,4,"《「もう良いのか？」》,《「そうか、残念だ」》,《「待っていてくれ、次はもっと良い品を用意してくる」》","6,4,5"
12,4,"《「最高の時間だった！」》,《「君と出会えたことが」》,《「ツイてなかった俺の人生における最大の幸運だよ」》","5,2,5"
13,4,"《「共にここから出よう」》,《「その為ならば」》,《「俺はいくらだって勇気を出せる」》","2,1,5"
