ID,Likability,Text
0,"1,2,3,4",《「毎度あり」》
1,"1,2,3,4",《「毎度あり」》
2,"1,2,3,4",《「毎度あり」》
3,"1,2,3,4",《「毎度あり」》
4,"1,2,3,4",《「毎度あり」》
5,"1,2,3,4",《「毎度あり」》
6,"1,2,3,4",《「毎度あり」》
7,"1,2,3,4",《「毎度あり」》
8,"1,2,3,4",《「毎度あり」》
9,"1,2,3,4",《「毎度あり」》
10,"1,2,3,4",《「毎度あり」》
11,"1,2,3,4",《「毎度あり」》
12,"1,2,3,4",《「毎度あり」》
13,"1,2,3,4",《「毎度あり」》
14,"1,2,3,4",《「毎度あり」》
15,"1,2,3,4",《「毎度あり」》
16,"1,2,3,4",《「毎度あり」》
17,"1,2,3,4",《「毎度あり」》
18,"1,2,3,4",《「毎度あり」》
19,"1,2,3,4",《「毎度あり」》
20,"1,2,3,4",《「毎度あり」》
21,"1,2,3,4",《「毎度あり」》
22,"1,2,3,4",《「毎度あり」》
23,"1,2,3,4",《「毎度あり」》
24,"1,2,3,4",《「毎度あり」》
25,"1,2,3,4",《「毎度あり」》
26,"1,2,3,4",《「毎度あり」》
27,"1,2,3,4",《「毎度あり」》
28,"1,2,3,4",《「毎度あり」》
29,"1,2,3,4",《「毎度あり」》
30,"1,2,3,4",《「毎度あり」》
31,"1,2,3,4",《「毎度あり」》
32,"1,2,3,4",《「毎度あり」》
33,"1,2,3,4",《「毎度あり」》
34,"1,2,3,4",《「毎度あり」》
35,"1,2,3,4",《「毎度あり」》
36,"1,2,3,4",《「毎度あり」》
37,"1,2,3,4",《「毎度あり」》
38,"1,2,3,4",《「毎度あり」》
39,"1,2,3,4",《「毎度あり」》
40,"1,2,3,4",《「毎度あり」》
41,"1,2,3,4",《「毎度あり」》
42,"1,2,3,4",《「毎度あり」》
43,"1,2,3,4",《「毎度あり」》
44,"1,2,3,4",《「毎度あり」》
