ID,Likability,Name,Text,Face
0,1,"耳長の獣人,耳長の獣人,耳長の獣人","《「ぁ……」》,《「うっ……ぁっ……」》,《「…………」》","6,4,1"
1,1,"耳長の獣人,耳長の獣人","《「あなたですか……」》,《「いや、別に何でもないです」》","3,4"
2,1,"耳長の獣人,耳長の獣人,耳長の獣人","《「うわっ……」》,《「あ、いや、ご、ごめんなさい……違うんです、そうじゃなくて」》,《「ごめんなさい！ごめんなさい！悪気があったわけじゃ……！」》","3,4,6"
3,1,",","《少女は目を丸くして、一歩退く》,《そして、自分の身体を抱き竦めながら、黙々と品を広げ始めた》","6,4"
4,"2,3","耳長の獣人,耳長の獣人","《「この音は、キミか」》,《「いらっしゃい、何が欲しい？」》","1,2"
5,"2,3","耳長の獣人,耳長の獣人,耳長の獣人,耳長の獣人,耳長の獣人","《「ここは静かだね」》,《「街の喧騒も、鳥のさえずりも、聞こえてこない」》,「あるのは剥き出しになった心の音色だけ」,「キミは随分と落ち着いているね」,「まるで同じことを繰り返しているように」","1,1,1,2,1"
6,"2,3","耳長の獣人,耳長の獣人,耳長の獣人","《「～♪　♪♪……」》,《「あぁ！ごめんなさい、いたんだね」》,《「い、今のは聴かなかったことに……」》","5,1,2"
7,"2,3","耳長の獣人,耳長の獣人,耳長の獣人,耳長の獣人","《「キミはどこから来たの？」》,《「すごく不思議な姿をしているよね」》,《「あぁ、悪く言うつもりはないんだよ」》,《「素敵だと思うよ、うん」》","1,1,2,1"
8,"2,3","耳長の獣人,耳長の獣人,耳長の獣人","《「なんだか機嫌が良いみたいだね」》,《「暗いのになんで分かるのかって？」》,《「そういう音がするんだ、キミから」》","2,1,2"
9,"2,3","耳長の獣人,耳長の獣人,耳長の獣人","《「いらっしゃい」》,《「買うだけじゃなくて、売ってくれても良いんだよ？」》,《「例えば……ほら、楽器とかね」》","1,2,2"
10,4,"耳長の獣人,耳長の獣人","《「あ！」》,《「いらっしゃいませ！よく来てくれたね」》","2,5"
11,4,"耳長の獣人,耳長の獣人","《「キミの心からは綺麗な音がする」》,《「心地いい旋律だよ、とってもね」》","2,5"
12,4,"耳長の獣人,耳長の獣人,耳長の獣人","《「よく来てくれたね」》,《「さぁ、何が欲しい？なんでも……はないけど」》,《「あるものなら好きに持って行ってよ」》","5,1,2"
13,4,"耳長の獣人,耳長の獣人,耳長の獣人","《「美しい旋律が聞こえてくる」》,《「うん、キミが来ると思ってた」》,《「この音は、キミだけのものだから」》","1,2,5"
