ID,Likability,Text
0,"1,2,3,4",《「死にたくなければ必要なモノだな」》
1,"1,2,3,4",《「奈落で何かを手に入れるためには必ず必要なモノだ」》
2,"1,2,3,4",《「これがなければどれほど価値のあるものを持っていようが関係ない」》
3,"1,2,3,4",default
4,"1,2,3,4",default
5,"1,2,3,4",《「奈落から離れるならば必要なモノだ、何のコトだろうな」》
6,"1,2,3,4",《「また奈落に帰ってくるためのものだ、物好きだな」》
7,"1,2,3,4",《「進み続けなければ、ここから出ることは出来ないぞ」》
8,"1,2,3,4",default
9,"1,2,3,4",default
10,"1,2,3,4",default
11,"1,2,3,4",default
12,"1,2,3,4",default
13,"1,2,3,4",default
14,"1,2,3,4",default
15,"1,2,3,4",《「奈落の入口への切符だ」》
16,"1,2,3,4",《「これが見えているならば不要なものだな」》
17,"1,2,3,4",default
18,"1,2,3,4",default
19,"1,2,3,4",default
20,"1,2,3,4",default
21,"1,2,3,4",default
22,"1,2,3,4",default
23,"1,2,3,4",default
24,"1,2,3,4",default
25,"1,2,3,4",《「商売において選択肢は多い方がいい」》
26,"1,2,3,4",default
27,"1,2,3,4",《「やり直しとは随分なインチキだな」》
28,"1,2,3,4",《「そんなに沢山欲しいものがあるのか？」》
29,"1,2,3,4",default
30,"1,2,3,4",《「己を示す唯一の識別子、これがお前のものとは限らないがな」》
31,"1,2,3,4",default
32,"1,2,3,4",default
33,"1,2,3,4",default
34,"1,2,3,4",default
35,"1,2,3,4",default
36,"1,2,3,4",《「延々と取引をする奈落で最も便利なものだ」》
37,"1,2,3,4",《「万策尽きて運に頼るか？」》
38,"1,2,3,4",default
39,"1,2,3,4",default
40,"1,2,3,4",default
41,"1,2,3,4",default
42,"1,2,3,4",default
43,"1,2,3,4",default
44,"1,2,3,4",default
