ID,Likability,Name,Text,Face
0,1,"トレーダー,トレーダー,トレーダー","《「誰だ、お前は」》,《「あぁ、思い出した」》,《「覚える価値もないクズだったな、お前は」》","1,2,4"
1,1,"トレーダー,トレーダー,トレーダー","《「お前なんぞに売るものはない」》,《「と言いたいところではあるが、ビジネスはビジネスだ」》,《「さぁ、さっさと品を出せ」》","3,1,3"
2,1,"トレーダー,トレーダー","《「目障りだ」》,《「さっさと失せろ」》","4,3"
3,1,"トレーダー,トレーダー","《「だんまりか」》,《「口すら利きたくない、こちらとしても同意見だ」》","1,3"
4,"2,3","トレーダー,トレーダー,トレーダー","《「あぁ、また会ったな」》,《「奈落において何かを得るためには、何かを差し出さなければならない」》,《「さぁ、取引を始めよう」》","2,1,2"
5,"2,3","トレーダー,トレーダー,トレーダー","《「奈落における通貨はカラットと呼ばれている」》,《「あらゆる存在にとって等しく価値のある輝き」》,《「さて、それは何なんだろうな」》","1,1,4"
6,"2,3","トレーダー,トレーダー,トレーダー","《「まだこんな場所で燻っているのか」》,《「あぁいや、別に悪いとは言わない」》,《「むしろ都合がいいというものだ」》","1,4,5"
7,"2,3","トレーダー,トレーダー,トレーダー","《「ただ闇雲に進むだけでは、ここからは出られない」》,《「必要なのは閃きと創意工夫だ」》,《「あぁ、それとも、お前はそれすらも売ってしまったか？」》","1,1,5"
8,"2,3","トレーダー,トレーダー,トレーダー,トレーダー","《「ふと、夢想することがある」》,《「それは、お前たちが死ぬ夢だ」》,《「……さて、お前は」》,《「一体、何人目のお前なんだろうな？」》","4,4,1,5"
9,"2,3","トレーダー,トレーダー","《「ここを出た先にどんな景色が広がっているのか」》,《「答えを知りたければ、自らの力でそこを目指せ」》","4,2"
10,4,"トレーダー,トレーダー,トレーダー","《「よく来たな」》,《「お前ほどのお得意様は中々いない」》,《「さて、何が欲しい」》","5,2,2"
11,4,"トレーダー,トレーダー,トレーダー,トレーダー","《「こうも頻繁に通ってくれるとなると」》,《「目的まで同じなのではないかと錯覚するな」》,《「まぁ、そんなことはないのだろうが」》,《「お前の旅路を応援するよ」》","1,2,1,2"
12,4,"トレーダー,トレーダー","《「良いところに来てくれた」》,《「新商品が入ったんだ、是非見て行ってくれ」》","2,5"
13,4,"トレーダー,トレーダー,トレーダー,トレーダー","《「また会ったな」》,《「普通ならば飽いてしまうとこだが」》,《「お前と話しているのは存外に楽しくてな」》,《「何十、何百、何千と繰り返しても飽きることはない」》","2,1,2,2"
