ID,Likability,Text
0,1,"《「時間切れだ」》,《「さっさと俺の視界から消えてくれ」》"
1,1,"《「宝石が欲しい？」》,《「論外だ、貴様なんかに売るわけがない」》"
2,"2,3,4","《「時は宝石なり」》,《「誰の言葉かって？」》,《「俺の言葉だよ」》"
3,"2,3,4","《「さて、そろそろ行くとするか」》,《「足が動かなくとも前に進むことは出来る」》,《「本当に進めなくなった時というのは」》,《「そんな勇気すら沸かなくなった時だ」》"
4,"2,3,4","《「そんなに物欲しそうな目で見るな」》,《これは全部俺のものだ》"
5,"2,3,4","《「こうも長い間洞窟に押し込められていると」》,《「青空が恋しくなるものだな」》"
6,"2,3,4","《「盲目の少女と会ったか？」》,《「奴は俺とよく似ている」》,《「いや、輝きを目にすることが出来る分」》,《「俺の方が幸福なのかもしれないな」》"
7,"2,3,4","《「ゲホッゴホッ……」》,《「あぁ、クソっ……」》,《「言うことを聞かない身体だ……」》"
8,"2,3,4","《「かつて土地を治めた者として、人を見る目はあるつもりだが……」》,《「なんだ？あのトレーダーという男は」》,《「底知れない感覚、そもそも同じ人間を相手にしていると思えない」》,《「そもそもあいつは……」》,《「いつからここにいるんだ……？」》"
9,"2,3,4","《「この先に進むヒントが欲しい……？」》,《「知らん、進み続ければ辿り着けるだろう」》,《「全ての物には終わりがある」》,《「それはお前の命の終わりか、旅の終わりか……どちらだろうな」》"
