ID,Likability,Name,Text,Face
0,1,"イカれた学者,イカれた学者,イカれた学者","《「さて時間だ」》,《「オレのような狂人に愛想を尽かされるなんて」》,《「お前も大概イカれてるぜ」》","1,1,1"
1,1,"イカれた学者,イカれた学者,イカれた学者","《「あ！」》,《「わりぃな！お気に入りの本を読む時間が来ちまった！」》,《「というわけで失礼するぜ、あばよ！」》","6,2,1"
2,1,"イカれた学者,イカれた学者","《「マジでタコみてぇな顔をしてるよなお前」》,《「ん？最上級の侮蔑の言葉のつもりだぜ、上手く伝わらなかったか？」》","1,1"
3,1,"イカれた学者,イカれた学者,","《「あまり強い言葉は使いたくないんだけどな……」》,《「バーカバーカアホアホ！お前の顔タコみたいー！」》,《彼女は満足気に頷いて去っていった》","1,3,2"
4,"2,3","イカれた学者,イカれた学者,イカれた学者","《「ふぅ……」》,《「興が醒めた」》,《「オレは行く、じゃあな」》","1,1,2"
5,"2,3","イカれた学者,イカれた学者,イカれた学者,イカれた学者,イカれた学者","《「おっと、時間だ」》,《「暇人のお前と違ってオレは忙しいからな！」》,《「あぁ？具体的に何かって？」》,《「例えばそうだな……」》,《「読書とか？」》","1,1,6,1,2"
6,"2,3","イカれた学者,イカれた学者,イカれた学者","《「少年少女上を向け！」》,《「何が見えるのか？」》,《「さぁな！土や石でも見れるんじゃないか！」》","5,6,2"
7,"2,3","イカれた学者,イカれた学者,イカれた学者,イカれた学者,イカれた学者","《「真理は人を狂気へと誘う」》,《「オレもかつては……花を慈しむ文学少女だった……」》,《「信じられるか……？」》,《「おい、黙るな……なんか言え」》,《「恥ずかしいだろ、おい」》","1,1,6,3,4"
8,"2,3","イカれた学者,イカれた学者,イカれた学者,イカれた学者","《「ここには何人も人がいるが」》,《「誰もが同じ世界から来たわけじゃない」》,《「つまり、皆が目指す出口って奴は人によって異なるんだ」》,《「お前だけの出口、それを探すんだ」》","1,1,1,2"
9,"2,3","イカれた学者,イカれた学者","《「オレがイカれてるんじゃない」》,《「オレをイカれてると思う、お前らがイカれてるんだ」》","4,3"
10,4,"イカれた学者,イカれた学者,イカれた学者","《「あ？もう時間か？」》,《「全く、一日が48時間は欲しいぜ」》,《「そう思うだろ？な？」》","1,4,2"
11,4,"イカれた学者,イカれた学者,イカれた学者","《「イカれてやがるぜ、この時計」》,《「まともに取引させるつもりあんのか？この時間設定」》,《「この世界を作った奴にクレームを入れてやりたいぜ」》","4,3,4"
12,4,"イカれた学者,イカれた学者,イカれた学者","《「おっとここで時間が来てしまったー！」》,《「イカれた学者選手！Win！」》,《「また再戦してくれよな！」》","5,5,2"
13,4,"イカれた学者,イカれた学者,イカれた学者,イカれた学者","《「トレーダーはこの世界で特別な存在だ」》,《「少なくとも全ての螺旋の記憶を持っている」》,《「お前が何度も死んでいることも知っている」》,《「な？最低なクズ野郎だろ？」》","2,1,1,4"
