ID,Likability,Name,Text,Face
0,1,"没落貴族,没落貴族","《「時間切れだ」》,《「さっさと俺の視界から消えてくれ」》","1,3"
1,1,"没落貴族,没落貴族","《「宝石が欲しい？」》,《「論外だ、貴様なんかに売るわけがない」》","1,3"
2,1,"没落貴族,没落貴族,没落貴族","《「まだいたのか」》,《「あぁ、全く、嘆かわしいことだ」》,《「今直ぐにでも貴様から離れたいのに、動けないというのは」》","1,4,3"
3,1,",,","《彼が再び口を利くことはなかった》,《取引が終わったことを悟ると、黙って宝石を掻き集め、立ち去っていく》,《去り際に、強く睨みを効かせながら……》","1,4,3"
4,"2,3","没落貴族,没落貴族,没落貴族","《「時は宝石なり」》,《「誰の言葉かって？」》,《「俺の言葉だよ」》","1,1,2"
5,"2,3","没落貴族,没落貴族,没落貴族,没落貴族","《「さて、そろそろ行くとするか」》,《「足が動かなくとも前に進むことは出来る」》,《「本当に進めなくなった時というのは」》,《「そんな勇気すら沸かなくなった時だ」》","1,1,1,1"
6,"2,3","没落貴族,没落貴族","《「そんなに物欲しそうな目で見るな」》,《これは全部俺のものだ》","1,2"
7,"2,3","没落貴族,没落貴族","《「こうも長い間洞窟に押し込められていると」》,《「青空が恋しくなるものだな」》","4,1"
8,"2,3","没落貴族,没落貴族,没落貴族","《「ゲホッゴホッ……」》,《「あぁ、クソっ……」》,《「言うことを聞かない身体だ……」》","4,3,3"
9,"2,3","没落貴族,没落貴族,没落貴族,没落貴族,没落貴族","《「かつて土地を治めた者として、人を見る目はあるつもりだが……」》,《「なんだ？あのトレーダーという男は」》,《「底知れない感覚、そもそも同じ人間を相手にしていると思えない」》,《「そもそもあいつは……」》,《「いつからここにいるんだ……？」》","1,4,4,1,6"
10,4,"没落貴族,没落貴族,没落貴族","《「あぁ、もう時間か」》,《「貴様と話すのは存外に楽しい」》,《「友人というものは、こういう関係を指すのだろうな」》","5,2,2"
11,4,"没落貴族,没落貴族,没落貴族","《「時は宝石だ、一秒たりとも無駄には出来ない」》,《「だが、貴様と話をしているこの瞬間は」》,《「宝石よりも美しく輝いているよ」》","1,5,2"
12,4,"没落貴族,没落貴族,没落貴族","《「宝石が欲しい」》,《「美しく輝く、煌めきが欲しい」》,《「分からないか？貴様が欲しいと言っているんだよ」》","5,5,2"
13,4,"没落貴族,没落貴族,没落貴族","《「俺はここから出ることに、さほど興味がなかったが……」》,《「貴様がそれほどまでに夢見るというのなら」》,《「俺はそれを応援するよ」》","1,5,2"
