ID,Likability,Text,Face
0,"1,2,3,4",《「俺は臆病だからさ。失いたくない、そう思ってしまうんだよ」》,2
1,"1,2,3,4",《何かを手に入れる、対価を支払う、その手段》,1
2,"1,2,3,4",《何かを失う、対価を得る、その手段》,1
3,"1,2,3,4",《「すぐに『はい』と言える勇気があればな……」》,4
4,"1,2,3,4",《「『いいえ』と断る勇気すら俺にはないんだ……」》,4
5,"1,2,3,4",《目的を見失わないために、刻み込め》,1
6,"1,2,3,4",《思い出せ、己が何者であるかを》,1
7,"1,2,3,4",《「俺に一番ないものだよ、前に進む勇気なんて」》,2
8,"1,2,3,4",《世界が奏でる旋律を聴くために》,1
9,"1,2,3,4",《見えなくても、聞こえればいい》,1
10,"1,2,3,4",《心の暗澹を照らす輝き》,1
11,"1,2,3,4",《色褪せた灰色の世界はうんざりだ》,1
12,"1,2,3,4",《より優れた瞳を》,1
13,"1,2,3,4",《カタチだけでは、本質は理解できない》,1
14,"1,2,3,4",《言葉は理解できなければただの音に過ぎない》,1
15,"1,2,3,4",《なんだ？これは》,1
16,"1,2,3,4",《対話することでしか相互理解は得られない》,1
17,"1,2,3,4",《数字は裏切らない》,1
18,"1,2,3,4",《この世界で広く普及した表意文字だ》,1
19,"1,2,3,4",《平凡な文字だ、だからこそ溢れている》,1
20,"1,2,3,4",《文字通りの欠片ではなく、自己完結している》,1
21,"1,2,3,4",《世界を繋げる文字だ》,1
22,"1,2,3,4",《自分の意思を確かに示せ》,1
23,"1,2,3,4",《これはこれだ》,1
24,"1,2,3,4",《「無為に過ごした時間がどれほどあるか……」》,4
25,"1,2,3,4",《取引できるものはまだまだある》,1
26,"1,2,3,4",《「俺の心を読んだところで……全部本心だよ……」》,2
27,"1,2,3,4",《やり直せ》,1
28,"1,2,3,4",《取引できるものはまだあるだろう？》,1
29,"1,2,3,4",,1
30,"1,2,3,4",《お前は誰だ》,1
31,"1,2,3,4",《「メモを取ったり地図を描いたり、便利なものだよ」》,2
32,"1,2,3,4",《「休息は大事だ、君にはまだ未来があるのだから」》,5
33,"1,2,3,4",《「本当に必要な時に無いと困るぞ」》,2
34,"1,2,3,4",《「便利な道具だ、人を傷付けるためのものじゃない」》,2
35,"1,2,3,4",,1
36,"1,2,3,4",《交渉のコツは本命を後から提示することだ》,1
37,"1,2,3,4",《「俺にはこれがあったところで何も変わりゃしないのさ」》,4
38,"1,2,3,4",,1
39,"1,2,3,4",,1
40,"1,2,3,4",,1
41,"1,2,3,4",,1
42,"1,2,3,4",,1
43,"1,2,3,4",,1
44,"1,2,3,4",,1
